X,node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,tipLabel,startProvince,endProvince,startCommune,endCommune
29,60,21,0.03061797814,644039.819031948,754639.678320883,650522.756497308,732809.047279166,0.1903579781397,0.1597399999997,2020.23440934426,2020.2650273224,73200000,hCoV-19/Belgium/ULG-10120/2020|EPI_ISL_427368|2020-04-07|Europe,Liège,Liège,4800,4430
30,60,61,0.06302,644039.819031948,754639.678320883,643843.638354682,755030.931173361,0.2227599999997,0.1597399999997,2020.23440934426,2020.29742934426,73200000,NA,Liège,Liège,4800,4800
31,61,23,0.0003848633878,643843.638354682,755030.931173361,643959.049850983,754891.481382912,0.2231448633875,0.2227599999997,2020.29742934426,2020.29781420765,73200000,hCoV-19/Belgium/ULG-10166/2020|EPI_ISL_447160|2020-04-19|Europe,Liège,Liège,4800,4800
33,62,64,0.01234,644114.298468306,755519.892752649,643972.401310679,755386.184476902,0.12155,0.10921,2020.18387934426,2020.19621934426,73200000,NA,Liège,Liège,4800,4800
37,64,66,0.02723322191,643972.401310679,755386.184476902,646452.541532633,769824.709279575,0.14878322191,0.12155,2020.19621934426,2020.22345256617,73200000,NA,Liège,Liège,4800,4700
38,66,67,0.01886677809,646452.541532633,769824.709279575,646605.254207508,770046.33995829,0.16765,0.14878322191,2020.22345256617,2020.24231934426,73200000,NA,Liège,Liège,4700,4700
39,66,77,0.000576778090700003,646452.541532633,769824.709279575,629397.715554918,780446.610952946,0.1493600000007,0.14878322191,2020.22345256617,2020.22402934426,73200000,NA,Liège,Liège,4700,4750
40,67,68,0.01,646605.254207508,770046.33995829,657933.077550328,766474.276165531,0.17765,0.16765,2020.24231934426,2020.25231934426,73200000,NA,Liège,Liège,4700,4720
41,67,28,0.06642382514,646605.254207508,770046.33995829,646296.926581069,770458.710420444,0.23407382514,0.16765,2020.24231934426,2020.3087431694,73200000,hCoV-19/Belgium/rega-0423298/2020|EPI_ISL_462152|2020-04-23|Europe,Liège,Liège,4700,4700
42,68,69,0.00223999999999999,657933.077550328,766474.276165531,657929.016696385,766376.189281142,0.17989,0.17765,2020.25231934426,2020.25455934426,73200000,NA,Liège,Liège,4720,4720
43,69,30,0.00227125683000001,657929.016696385,766376.189281142,657927.063427382,766429.439593586,0.18216125683,0.17989,2020.25455934426,2020.25683060109,73200000,hCoV-19/Belgium/ULG-10088/2020|EPI_ISL_424646|2020-04-04|Europe,Liège,Liège,4720,4720
44,69,70,0.00225,657929.016696385,766376.189281142,656992.809397941,765403.957953733,0.18214,0.17989,2020.25455934426,2020.25680934426,73200000,NA,Liège,Liège,4720,4720
45,70,31,2.12568304900074e-05,656992.809397941,765403.957953733,656989.733276588,765408.717953456,0.18216125683049,0.18214,2020.25680934426,2020.25683060109,73200000,hCoV-19/Belgium/ULG-10089/2020|EPI_ISL_424643|2020-04-04|Europe,Liège,Liège,4720,4720
47,71,72,0.0304,615930.787673531,786405.633704694,658599.548668712,766146.891614232,0.21527,0.18487,2020.25953934426,2020.28993934426,73200000,NA,Liège,Liège,4760,4720
49,72,73,0.00237999999999999,658599.548668712,766146.891614232,658350.710609143,766509.091782081,0.21765,0.21527,2020.28993934426,2020.29231934426,73200000,NA,Liège,Liège,4720,4720
50,72,33,0.01880382514,658599.548668712,766146.891614232,658783.295988931,766118.214824313,0.23407382514,0.21527,2020.28993934426,2020.3087431694,73200000,hCoV-19/Belgium/rega-0423301/2020|EPI_ISL_462155|2020-04-23|Europe,Liège,Liège,4720,4720
51,73,34,3.03825135899993e-05,658350.710609143,766509.091782081,646449.190925206,771617.018533861,0.21768038251359,0.21765,2020.29231934426,2020.29234972677,73200000,hCoV-19/Belgium/ULG-10146/2020|EPI_ISL_447138|2020-04-17|Europe,Liège,Liège,4720,4700
52,73,74,0.0115,658350.710609143,766509.091782081,658301.512461556,766531.25403219,0.22915,0.21765,2020.29231934426,2020.30381934426,73200000,NA,Liège,Liège,4720,4720
53,74,35,0.00492382513699999,658301.512461556,766531.25403219,616954.073209157,791301.149303881,0.234073825137,0.22915,2020.30381934426,2020.3087431694,73200000,hCoV-19/Belgium/rega-0423299/2020|EPI_ISL_462153|2020-04-23|Europe,Liège,Liège,4720,4760
