X,node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,tipLabel,startProvince,endProvince,startCommune,endCommune
306,683,684,0.01857,650211.859789129,736584.65383207,650075.206838503,736695.523540322,0.0199853414296,0.00141534142960001,2020.19763934421,2020.21620934421,262400000,NA,Liège,Liège,4000,4000
307,683,686,0.02913,650211.859789129,736584.65383207,661541.080483072,765459.624838972,0.0305453414296,0.00141534142960001,2020.19763934421,2020.22676934421,262400000,NA,Liège,Liège,4000,4851
308,684,631,0.01056661202,650075.206838503,736695.523540322,642117.712872885,761634.09850029,0.0305519534496,0.0199853414296,2020.21620934421,2020.22677595623,262400000,hCoV-19/Belgium/ULG-0546/2020|EPI_ISL_447135|2020-03-24|Europe,Liège,Liège,4000,4830
309,684,685,0.02628,650075.206838503,736695.523540322,651688.089588427,736006.702134492,0.0462653414296,0.0199853414296,2020.21620934421,2020.24248934421,262400000,NA,Liège,Liège,4000,4041
310,685,633,0.00341229508200003,651688.089588427,736006.702134492,652978.464889225,732951.444302295,0.0496776365116,0.0462653414296,2020.24248934421,2020.24590163929,262400000,hCoV-19/Belgium/ULG-10012/2020|EPI_ISL_421190|2020-03-31|Europe,Liège,Liège,4041,4000
312,686,634,6.61202187898779e-06,661541.080483072,765459.624838972,661540.311436665,765464.17015304,0.030551953451479,0.0305453414296,2020.22676934421,2020.22677595623,262400000,hCoV-19/Belgium/ULG-0544/2020|EPI_ISL_447134|2020-03-24|Europe,Liège,Liège,4851,4851
313,686,687,0.01615379891,661541.080483072,765459.624838972,654584.568792774,728059.020844399,0.0466991403396,0.0305453414296,2020.22676934421,2020.24292314312,262400000,NA,Liège,Liège,4851,4432
314,687,688,0.000236201086900006,654584.568792774,728059.020844399,643617.94384289,718120.742131089,0.0469353414265,0.0466991403396,2020.24292314312,2020.24315934421,262400000,NA,Liège,Liège,4432,4537
315,687,635,0.00024625573180001,654584.568792774,728059.020844399,654544.91495809,728034.072617971,0.0469453960714,0.0466991403396,2020.24292314312,2020.24316939885,262400000,hCoV-19/Belgium/ULG-10003/2020|EPI_ISL_421183|2020-03-30|Europe,Liège,Liège,4432,4432
316,688,636,1.00546448600081e-05,643617.94384289,718120.742131089,618309.438390674,791510.066999351,0.04694539607136,0.0469353414265,2020.24315934421,2020.24316939885,262400000,hCoV-19/Belgium/ULG-10011/2020|EPI_ISL_421189|2020-03-30|Europe,Liège,Liège,4537,4760
319,689,694,0.01342,650211.859789129,736584.65383207,650664.307758682,733773.072759477,0.0148353414296,0.00141534142960001,2020.19763934421,2020.21105934421,262400000,NA,Liège,Liège,4000,4000
320,690,693,0.000587436201500008,651208.833069516,732837.88678568,651184.8610526,732798.001580327,0.0114153414301,0.0108279052286,2020.20705190801,2020.20763934421,262400000,NA,Liège,Liège,4000,4000
321,690,691,0.0354374362,651208.833069516,732837.88678568,648548.466095958,736613.881455098,0.0462653414286,0.0108279052286,2020.20705190801,2020.24248934421,262400000,NA,Liège,Liège,4000,4020
322,691,638,0.003412295082,648548.466095958,736613.881455098,648476.62299245,736567.85426393,0.0496776365106,0.0462653414286,2020.24248934421,2020.24590163929,262400000,hCoV-19/Belgium/ULG-10035/2020|EPI_ISL_427343|2020-03-31|Europe,Liège,Liège,4020,4020
323,691,692,0.05163,648548.466095958,736613.881455098,648390.586599396,734439.50872798,0.0978953414286,0.0462653414286,2020.24248934421,2020.29411934421,262400000,NA,Liège,Liège,4020,4000
324,692,640,0.000962622950700001,648390.586599396,734439.50872798,647766.960564082,735606.998826628,0.0988579643793,0.0978953414286,2020.29411934421,2020.29508196716,262400000,hCoV-19/Belgium/ULG-10158/2020|EPI_ISL_447153|2020-04-18|Europe,Liège,Liège,4000,4020
325,692,639,0.05833967213,648390.586599396,734439.50872798,648268.96289455,734288.817975561,0.1562350135586,0.0978953414286,2020.29411934421,2020.35245901634,262400000,hCoV-19/Belgium/ULG-10176/2020|EPI_ISL_455964|2020-05-09|Europe,Liège,Liège,4000,4000
326,693,642,0.05738797814,651184.8610526,732798.001580327,643669.62961375,723282.663836078,0.0688033195701,0.0114153414301,2020.20763934421,2020.26502732235,262400000,hCoV-19/Belgium/ULG-10117/2020|EPI_ISL_427365|2020-04-07|Europe,Liège,Liège,4000,4400
327,693,641,1.09289617699904e-05,651184.8610526,732798.001580327,651186.658318287,732800.917937032,0.01142627039187,0.0114153414301,2020.20763934421,2020.20765027317,262400000,hCoV-19/Belgium/JBE-0317326/2020|EPI_ISL_462180|2020-03-17|Europe,Liège,Liège,4000,4000
329,694,702,0.00204000000000001,650664.307758682,733773.072759477,650702.301256473,735214.935551324,0.0168753414296,0.0148353414296,2020.21105934421,2020.21309934421,262400000,NA,Liège,Liège,4000,4000
330,695,696,0.00208,650673.091862681,733886.778932382,642441.137981734,733331.046671847,0.0250753414296,0.0229953414296,2020.21921934421,2020.22129934421,262400000,NA,Liège,Liège,4000,4102
331,695,697,0.01167559913,650673.091862681,733886.778932382,650454.736475984,733570.054964732,0.0346709405596,0.0229953414296,2020.21921934421,2020.23089494334,262400000,NA,Liège,Liège,4000,4430
333,696,644,1.21311476299901e-05,642441.137981734,733331.046671847,649022.046887428,735830.899356305,0.02508747257723,0.0250753414296,2020.22129934421,2020.22131147536,262400000,hCoV-19/Belgium/ULG-9732/2020|EPI_ISL_418660|2020-03-22|Europe,Liège,Liège,4102,4020
336,698,645,0.00270766514199999,650428.566137661,733515.97658555,653005.495667378,717296.315628583,0.0469453960796,0.0442377309376,2020.24046173372,2020.24316939886,262400000,hCoV-19/Belgium/MFM-0330363/2020|EPI_ISL_462217|2020-03-30|Europe,Liège,Liège,4430,4350
